cases,geoId,latitude,longitude,homecontinent
33,AF,33.93911,67.709953,Asia
23,AL,41.153332,20.168331,Europe
38,DZ,28.033886,1.6596259999999998,Africa
24,AD,42.546245,1.601554,Europe
0,AO,-11.202692,17.873887,Africa
0,AG,17.060816,-61.79642800000001,North America
115,AR,-38.416097,-63.616672,South America
25,AM,40.069099,45.038189,Asia
2,AW,12.52111,-69.968338,North America
376,AU,-25.274398,133.775136,Oceania
606,AT,47.516231,14.550072,Europe
6,AZ,40.143105,47.57692700000001,Asia
1,BS,25.03428,-77.39628,North America
29,BH,25.930414000000006,50.637772,Asia
0,BD,23.684994,90.356331,Asia
0,BB,13.193887,-59.543198,North America
5,BY,53.709807,27.953389,Europe
1199,BE,50.503887,4.469936,Europe
1,BZ,17.189877,-88.49765,North America
0,BJ,9.30769,2.315834,Africa
0,BM,32.321384,-64.75737,North America
1,BT,27.514162,90.433601,Asia
7,BO,-16.290154,-63.588653,South America
9,BA,43.915886,17.679076000000006,Europe
232,BR,-14.235004,-51.92528,South America
3,BN,4.535277,114.727669,Asia
22,BG,42.733883,25.48583,Europe
15,BF,12.238333,-1.561593,Africa
5,KH,12.565679,104.990963,Asia
0,CM,7.369722,12.354722,Africa
1426,CA,56.130366,-106.346771,North America
1,CV,16.002082,-24.013197,Africa
0,KY,19.513469,-80.566956,North America
0,CF,6.611111,20.939444,Africa
0,TD,15.454166,18.732207,Africa
220,CL,-35.675147,-71.542969,South America
102,CN,35.86166,104.195397,Asia
92,CO,4.570868,-74.297333,South America
0,CG,-0.228021,15.827659,Africa
24,CR,9.748917,-83.753428,North America
7,CI,7.539989,-5.54708,Africa
36,HR,45.1,15.2,Europe
9,CU,21.521757,-77.78116700000002,North America
8,CY,35.126413,33.429859,Europe
260,CZ,49.817492,15.472962,Europe
0,CD,-4.0383330000000015,21.758664000000003,Africa
133,DK,56.26392,9.501785,Europe
9,DJ,11.825138,42.590275,Africa
5,DM,15.414999,-61.370976,North America
80,DO,18.735693,-70.162651,North America
129,EC,-1.831239,-78.183406,South America
76,EG,26.820553000000004,30.802498,Africa
4,SV,13.794185,-88.89653,North America
2,GQ,1.6508009999999995,10.267895,Africa
3,ER,15.179384,39.78233400000001,Africa
35,EE,58.595272,25.013607,Europe
0,SZ,-26.522503000000004,31.465866,Africa
1,ET,9.145,40.489673,Africa
10,FO,61.892635,-6.911806,Europe
0,FJ,-16.578193,179.414413,Oceania
88,FI,61.92411,25.748151,Europe
2931,FR,46.227638,2.213749,Europe
0,PF,-17.679742,-149.40684299999995,Oceania
0,GA,-0.803689,11.609444,Africa
0,GM,13.443182,-15.310139,Africa
3,GE,42.315407,43.356892,Asia
4954,DE,51.165691,10.451526,Europe
15,GH,7.9465270000000015,-1.0231940000000002,Africa
11,GI,36.137741,-5.345374,Europe
1,GL,71.706936,-42.604303,North America
0,GD,12.262776,-61.604171,North America
5,GU,13.444304,144.793731,Oceania
3,GT,15.783471,-90.230759,North America
7,GG,49.465691,-2.585278,Europe
0,GN,9.945587,-9.696645,Africa
0,GY,4.860416000000002,-58.93018000000001,South America
1,HT,18.971187,-72.28521500000002,North America
0,VA,41.902916,12.453389,Europe
16,HN,15.199998999999998,-86.241905,North America
35,HU,47.162494,19.503304,Europe
89,IS,64.96305100000001,-19.020835,Europe
87,IN,20.593684,78.96288,Asia
104,ID,-0.789275,113.921327,Asia
2206,IR,32.427908,53.68804599999999,Asia
30,IQ,33.223191,43.679291,Asia
235,IE,53.41291,-8.243889999999999,Europe
0,IM,54.236107,-4.548056,Europe
439,IL,31.046051,34.851612,Asia
5210,IT,41.87194,12.56738,Europe
4,JM,18.109581,-77.297508,North America
75,JP,36.204824,138.252924,Asia
0,JE,49.214439,-2.13125,Europe
26,JO,30.585164,36.238414,Asia
9,KZ,48.019573,66.923684,Asia
0,KE,-0.023559,37.906193,Africa
8,XK,42.602636,20.902977,Europe
4,KW,29.31166,47.481766,Asia
2,KG,41.20438,74.766098,Asia
0,LA,19.85627,102.495496,Asia
24,LV,56.879635,24.603189,Europe
29,LB,33.854721000000005,35.862285,Asia
0,LR,6.4280550000000005,-9.429499,Africa
0,LY,26.3351,17.228331,Africa
4,LI,47.166,9.555373,Europe
65,LT,55.169438,23.881275,Europe
234,LU,49.815273,6.129583,Europe
0,MG,-18.766947,46.869107,Africa
172,MY,4.210483999999999,101.975766,Asia
0,MV,3.202778,73.22068,Asia
2,ML,17.570692,-3.996166000000001,Africa
5,MT,35.937496,14.375416,Europe
0,MR,21.00789,-10.940835,Africa
6,MU,-20.348404,57.552152,Africa
155,MX,23.634501,-102.552784,North America
24,MD,47.411631,28.369885,Europe
0,MC,43.750298,7.412841,Europe
0,MN,46.862496,103.846656,Asia
6,ME,42.708678000000006,19.37439,Europe
0,MS,16.742498,-62.187366,North America
55,MA,31.791702,-7.09262,Africa
4,MZ,-18.665695,35.529562,Africa
0,MM,21.913965,95.956223,Asia
1,,-22.95764,18.49041,Africa
0,NP,28.394857,84.12400799999998,Asia
852,NL,52.132633,5.291266,Europe
5,NC,-20.904305,165.618042,Oceania
73,NZ,-40.900557,174.88597099999996,Oceania
0,NI,12.865416,-85.207229,North America
0,NE,17.607789,8.081666,Africa
7,NG,9.081999,8.675277000000001,Africa
29,MK,41.608635,21.745275,Europe
350,NO,60.472024,8.468946,Europe
15,OM,21.512583,55.92325500000001,Asia
66,PK,30.375321000000003,69.345116,Asia
2,PS,31.952162,35.233154,Asia
145,PA,8.537981,-80.782127,North America
0,PG,-6.314993,143.95555,Oceania
4,PY,-23.442503,-58.44383199999999,South America
142,PE,-9.189967,-75.015152,South America
84,PH,12.879721,121.774017,Asia
150,PL,51.919438,19.145136,Europe
633,PT,39.399872,-8.224454,Europe
11,QA,25.354826,51.183884,Asia
144,RO,45.943161,24.96676,Europe
163,RU,61.52401,105.318756,Europe
1,RW,-1.940278,29.873888,Africa
2,KN,17.357822,-62.782998,North America
1,LC,13.909444,-60.97889300000001,North America
0,VC,12.984305,-61.287228000000006,North America
21,SM,43.94236,12.457777,Europe
133,SA,23.885942,45.079162,Asia
13,SN,14.497401000000002,-14.452362,Africa
54,RS,44.016521,21.005859,Europe
0,SC,-4.679574,55.491977,Africa
10,SG,1.352083,103.819836,Asia
12,SK,48.669026,19.699024,Europe
48,SI,46.151241,14.995463,Europe
0,SO,5.152149,46.199616,Africa
152,ZA,-30.559482,22.937506,Africa
104,KR,35.90775700000001,127.766922,Asia
8954,ES,40.463667,-3.74922,Europe
0,LK,7.873054,80.77179699999998,Asia
0,SD,12.862807,30.217636,Africa
0,SR,3.919305000000001,-56.02778299999999,South America
314,SE,60.128161,18.643501,Europe
925,CH,46.818188,8.227511999999999,Europe
0,SY,34.802075,38.99681500000001,Asia
19,TW,23.69781,120.960515,Asia
111,TH,15.870032,100.992541,Asia
0,TL,-8.874217,125.727539,Asia
5,TG,8.619543,0.824782,Africa
3,TT,10.691803,-61.222503,North America
59,TN,33.886917,9.537499,Africa
561,TR,38.963745,35.243322,Asia
0,TC,21.694025,-71.797928,North America
5,UG,1.373333,32.290275,Africa
29,UA,48.379433,31.16558,Europe
85,AE,23.424076,53.847818,Asia
0,TZ,-6.369028,34.888822,Africa
13963,US,37.09024,-95.712891,North America
0,VI,18.335765,-64.896335,North America
28,UY,-32.522779,-55.765835,South America
10,UZ,41.377491,64.585262,Asia
15,VE,6.42375,-66.58973,South America
16,VN,14.058324,108.277199,Asia
9,ZM,-13.133897,27.849332,Africa
1,ZW,-19.015438,29.154857,Africa
